Altium Designer Pick and Place Locations
C:\Users\Administrator\Documents\in3ator_altium\Prototypes\FullLEDStrip2\Project Outputs for in3ator_LEDStrip2\Pick Place\Pick Place for in3ator_LEDStrip2.csv

========================================================================================================================
File Design Information:

Date:       15/08/24
Time:       13:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"D1","30.7340","268.8650","TopLayer","270"
"D2","40.2340","268.8650","TopLayer","270"
"D3","49.7340","268.8650","TopLayer","270"
"D4","68.7340","268.8650","TopLayer","270"
"D5","78.2340","268.8650","TopLayer","270"
"D6","87.7340","268.8650","TopLayer","270"
"D7","106.7340","268.8650","TopLayer","270"
"D8","116.2340","268.8650","TopLayer","270"
"D9","125.7340","268.8650","TopLayer","270"
"D10","144.7340","268.8650","TopLayer","270"
"D11","154.2340","268.8650","TopLayer","270"
"D12","163.7340","268.8650","TopLayer","270"
"D13","182.7340","268.8650","TopLayer","270"
"D14","192.2340","268.8650","TopLayer","270"
"D15","201.7340","268.8650","TopLayer","270"
"D16","30.7340","235.6570","TopLayer","270"
"D17","40.2340","235.6570","TopLayer","270"
"D18","49.7340","235.6570","TopLayer","270"
"D19","68.7340","235.6570","TopLayer","270"
"D20","78.2340","235.6570","TopLayer","270"
"D21","87.7340","235.6570","TopLayer","270"
"D22","106.7340","235.6570","TopLayer","270"
"D23","116.2340","235.6570","TopLayer","270"
"D24","125.7340","235.6570","TopLayer","270"
"D25","144.7340","235.6570","TopLayer","270"
"D26","154.2340","235.6570","TopLayer","270"
"D27","163.7340","235.6570","TopLayer","270"
"D28","182.7340","235.6570","TopLayer","270"
"D29","192.2340","235.6570","TopLayer","270"
"D30","201.7340","235.6570","TopLayer","270"
"D31","30.7340","199.6340","TopLayer","270"
"D32","40.2340","199.7340","TopLayer","270"
"D33","49.7340","199.7340","TopLayer","270"
"D34","68.7340","199.7340","TopLayer","270"
"D35","78.2340","199.7340","TopLayer","270"
"D36","87.7340","199.7340","TopLayer","270"
"D37","106.7340","199.7340","TopLayer","270"
"D38","116.7340","199.7340","TopLayer","270"
"D39","125.7340","199.7340","TopLayer","270"
"D40","144.7340","199.7340","TopLayer","270"
"D41","154.2340","199.7340","TopLayer","270"
"D42","163.7340","199.7340","TopLayer","270"
"D43","182.7340","199.6340","TopLayer","270"
"D44","192.2340","199.6340","TopLayer","270"
"D45","201.7340","199.6340","TopLayer","270"
"D46","31.2310","163.3840","TopLayer","270"
"D47","40.2340","163.3840","TopLayer","270"
"D48","49.7340","163.3840","TopLayer","270"
"D49","68.7340","163.3840","TopLayer","270"
"D50","78.2340","163.3840","TopLayer","270"
"D51","87.7340","163.3840","TopLayer","270"
"D52","106.7340","163.3840","TopLayer","270"
"D53","116.2340","163.3840","TopLayer","270"
"D54","125.7340","163.3840","TopLayer","270"
"D55","144.7340","163.3840","TopLayer","270"
"D56","154.2340","163.3840","TopLayer","270"
"D57","163.7340","163.3840","TopLayer","270"
"D58","182.7340","163.3840","TopLayer","270"
"D59","192.2340","163.3840","TopLayer","270"
"D60","201.7340","163.3840","TopLayer","270"
"D61","30.7340","130.8350","TopLayer","270"
"D62","40.2340","130.8350","TopLayer","270"
"D63","49.7340","130.8350","TopLayer","270"
"D64","68.7340","130.8350","TopLayer","270"
"D65","78.2340","130.8350","TopLayer","270"
"D66","87.7340","130.8350","TopLayer","270"
"D67","106.7340","130.8350","TopLayer","270"
"D68","116.2340","130.8350","TopLayer","270"
"D69","125.7340","130.8350","TopLayer","270"
"D70","144.7340","130.8350","TopLayer","270"
"D71","154.2340","130.8350","TopLayer","270"
"D72","163.7340","130.8350","TopLayer","270"
"D73","182.7340","130.8350","TopLayer","270"
"D74","192.2340","130.8350","TopLayer","270"
"D75","201.7340","130.8350","TopLayer","270"
"R1","59.2340","268.8650","TopLayer","270"
"R2","97.2340","268.8650","TopLayer","270"
"R3","135.2340","268.8650","TopLayer","270"
"R4","173.2340","268.8650","TopLayer","270"
"R5","211.2340","268.8650","TopLayer","270"
"R6","59.2340","235.6570","TopLayer","270"
"R7","97.2340","235.6570","TopLayer","270"
"R8","135.2340","235.6570","TopLayer","270"
"R9","173.2340","235.6570","TopLayer","270"
"R10","211.2340","235.6570","TopLayer","270"
"R11","59.2340","199.6340","TopLayer","270"
"R12","97.2340","199.6340","TopLayer","270"
"R13","135.2340","199.6340","TopLayer","270"
"R14","173.2340","199.6340","TopLayer","270"
"R15","211.2340","199.6340","TopLayer","270"
"R16","59.2340","163.3840","TopLayer","270"
"R17","97.2340","163.3840","TopLayer","270"
"R18","135.2340","163.3840","TopLayer","270"
"R19","173.2340","163.3840","TopLayer","270"
"R20","211.2340","163.3840","TopLayer","270"
"R21","59.2340","130.8350","TopLayer","270"
"R22","97.2340","130.8350","TopLayer","270"
"R23","135.2340","130.8350","TopLayer","270"
"R24","173.2340","130.8350","TopLayer","270"
"R25","211.2340","130.8350","TopLayer","270"
