Altium Designer Pick and Place Locations
C:\Users\pablo sanchez\Desktop\IN3\Altium\in3ator\Project Outputs for in3ator\Pick Place\Pick Place for IN3ATOR(Main).csv

========================================================================================================================
File Design Information:

Date:       16/08/22
Time:       00:30
Revision:   15
Variant:    Main
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"BUZ1","35.0664","-5.8660","BottomLayer","180"
"C1","39.5120","-8.6600","TopLayer","270"
"C2","95.2650","-68.3260","TopLayer","0"
"C3","92.0900","-95.6310","TopLayer","90"
"C4","93.3600","-52.7290","TopLayer","90"
"C5","66.6750","-78.4710","TopLayer","180"
"C6","43.9420","-15.7480","TopLayer","180"
"C7","61.7220","-79.6140","TopLayer","0"
"C8","52.0872","-39.8690","TopLayer","90"
"C11","79.3270","-45.5930","TopLayer","0"
"C12","75.3900","-46.2280","TopLayer","0"
"C14","48.0060","-38.6480","TopLayer","90"
"C17","73.4210","-20.8520","TopLayer","180"
"C18","73.4210","-28.8530","TopLayer","0"
"C19","73.4210","-30.6310","TopLayer","0"
"C20","31.0030","-32.1550","TopLayer","180"
"C21","73.8020","-87.7570","TopLayer","270"
"C22","89.6770","-94.4880","TopLayer","90"
"C23","45.5930","-43.9420","TopLayer","180"
"C24","44.9580","-18.5420","TopLayer","270"
"C25","45.5930","-42.2910","TopLayer","180"
"C26","45.5930","-40.6400","TopLayer","180"
"C28","36.7030","-49.0220","TopLayer","270"
"C29","45.5930","-39.1160","TopLayer","180"
"C30","45.5930","-45.8470","TopLayer","180"
"C31","44.8310","-31.1150","TopLayer","180"
"C32","44.8310","-32.6390","TopLayer","180"
"C34","44.8310","-34.2900","TopLayer","180"
"C35","46.7360","-18.5420","TopLayer","270"
"C36","51.6890","-18.5420","TopLayer","270"
"C37","50.0380","-18.5420","TopLayer","270"
"C38","48.3870","-18.5420","TopLayer","270"
"C39","40.5130","-18.4150","TopLayer","270"
"C40","38.8620","-18.4150","TopLayer","270"
"C41","37.2110","-18.4150","TopLayer","270"
"C2_1","32.7045","-86.7603","TopLayer","270"
"C3_1","5.3995","-83.5853","TopLayer","0"
"C5_1","50.6730","-78.4860","TopLayer","180"
"C7_1","45.7200","-79.6290","TopLayer","0"
"C21_1","13.2735","-65.2973","TopLayer","180"
"C22_1","6.5425","-81.8073","TopLayer","0"
"D1","16.9060","-6.0960","TopLayer","270"
"D2","79.3270","-42.2910","TopLayer","90"
"D3","95.5190","-70.9930","TopLayer","90"
"D4","100.7260","-38.2510","TopLayer","90"
"D5","100.7260","-45.1090","TopLayer","90"
"D6","66.6750","-85.7100","TopLayer","270"
"D7","91.8360","-59.0550","TopLayer","270"
"D8","63.9920","-24.8310","TopLayer","0"
"D9","77.9780","-91.1860","TopLayer","0"
"D3_1","30.0375","-87.0143","TopLayer","0"
"D6_1","50.6730","-85.7250","TopLayer","270"
"D9_1","9.7790","-70.4850","TopLayer","270"
"J1","11.4450","-5.9930","BottomLayer","90"
"J2","99.9640","-58.4440","TopLayer","0"
"J4","4.4600","-5.9690","TopLayer","90"
"J6","48.0210","-57.9360","TopLayer","0"
"J7","87.9539","-79.7011","TopLayer","45"
"J8","4.4600","-55.7530","TopLayer","90"
"J9","3.9522","-38.4813","TopLayer","90"
