Altium Designer Pick and Place Locations
C:\Users\Administrator\AppData\Local\Temp\Releases\Snapshot\1\Assembly NO_AFE\Pick Place\Pick Place for Motherboard(NO_AFE).csv

========================================================================================================================
File Design Information:

Date:       11/09/25
Time:       11:12
Revision:   6
Variant:    NO_AFE
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"BUZ1","34.9400","-5.7396","BottomLayer","270"
"C1","40.4373","-38.1642","TopLayer","90"
"C2","37.3380","-25.5270","TopLayer","180"
"C3","43.7560","-7.8740","TopLayer","0"
"C4","67.4370","-53.4670","TopLayer","180"
"C5","43.7560","-8.8900","TopLayer","0"
"C6","64.9560","-30.6766","TopLayer","270"
"C7","12.5730","-47.7520","TopLayer","90"
"C8","65.0240","-34.9250","TopLayer","90"
"C11","103.3190","-33.4010","TopLayer","0"
"C12","100.1350","-32.2580","TopLayer","180"
"C14","63.8810","-38.8620","TopLayer","180"
"C15","50.2920","-57.7850","TopLayer","90"
"C16","50.5460","-30.4800","TopLayer","180"
"C17","43.6880","-9.9060","TopLayer","0"
"C21","51.2566","-32.7915","TopLayer","270"
"C22","52.2726","-32.7915","TopLayer","270"
"C23","67.8510","-41.4483","TopLayer","270"
"C24","67.6320","-29.9720","TopLayer","0"
"C25","66.7080","-41.4483","TopLayer","270"
"C26","65.5650","-41.4483","TopLayer","270"
"C27","53.4156","-32.7915","TopLayer","270"
"C28","54.5586","-32.7915","TopLayer","270"
"C29","64.5490","-41.4483","TopLayer","270"
"C30","68.9940","-41.4483","TopLayer","270"
"C31","57.0786","-41.8311","TopLayer","270"
"C32","58.9280","-41.7830","TopLayer","270"
"C34","60.7060","-41.7830","TopLayer","270"
"C35","67.6320","-28.9053","TopLayer","0"
"C36","67.6320","-25.7050","TopLayer","0"
"C37","67.6320","-26.7718","TopLayer","0"
"C38","67.6320","-27.8385","TopLayer","0"
"C39","68.0720","-35.0520","TopLayer","0"
"C40","68.0720","-37.2110","TopLayer","0"
"C41","67.9450","-33.2740","TopLayer","0"
"C42","55.7016","-32.7915","TopLayer","270"
"C43","77.8510","-23.1730","TopLayer","270"
"C44","43.7862","-33.1743","TopLayer","270"
"C45","45.6357","-33.1262","TopLayer","270"
"C46","47.4137","-33.1262","TopLayer","270"
"C49","76.8350","-23.1820","TopLayer","270"
"C50","32.0040","-49.0220","TopLayer","180"
"C52","99.0600","-49.5300","TopLayer","0"
"C53","98.9920","-54.8640","TopLayer","0"
"C62","39.1160","-14.7320","TopLayer","270"
"C63","40.1320","-15.6210","TopLayer","90"
"C64","40.1320","-13.7750","TopLayer","270"
"C65","37.7190","-18.1610","TopLayer","90"
"C66","30.2260","-14.8590","TopLayer","90"
"C67","36.9570","-31.3034","TopLayer","90"
"C68","38.6080","-31.3034","TopLayer","90"
"C69","40.2590","-31.3034","TopLayer","90"
"C70","36.1950","-28.9560","TopLayer","180"
"C71","38.2270","-28.0670","TopLayer","90"
"C72","39.8780","-28.0670","TopLayer","90"
"C73","36.8300","-27.5590","TopLayer","90"
"C74","35.8140","-26.5430","BottomLayer","270"
"C75","31.1150","-31.1740","TopLayer","90"
"C76","32.0040","-25.5270","BottomLayer","270"
"C77","29.0150","-28.5977","TopLayer","90"
"C78","30.6810","-28.6217","TopLayer","90"
"D1","75.5650","-50.0380","TopLayer","180"
"D2","103.5050","-30.4800","TopLayer","90"
"D3","81.9150","-50.0380","TopLayer","180"
"D4","72.3900","-54.8640","TopLayer","180"
"D5","72.3900","-55.8800","TopLayer","180"
"D6","16.2560","-11.3030","BottomLayer","270"
"D7","85.3050","-54.9910","TopLayer","0"
"D8","73.4060","-24.0030","TopLayer","180"
"D9","14.0970","-46.8630","TopLayer","270"
"D10","85.3440","-56.0070","TopLayer","0"
"D11","67.4370","-54.3560","TopLayer","0"
"D12","11.2890","-15.2400","BottomLayer","0"
"D27","17.7800","-15.7480","BottomLayer","180"
"D30","86.8680","-50.1650","TopLayer","270"
"D33","28.9560","-19.6850","TopLayer","270"
"D34","31.9750","-19.5969","TopLayer","270"
"D35","3.4290","-18.6830","BottomLayer","90"
"D36","8.8590","-20.7980","BottomLayer","90"
"D39","86.8680","-52.7050","TopLayer","90"
"D40","86.8680","-55.3720","TopLayer","90"
"J1","2.7940","-6.0960","BottomLayer","90"
"J2","67.5640","-57.5310","TopLayer","0"
"J3","73.1520","-18.6690","TopLayer","0"
"J4","60.1480","-56.8960","BottomLayer","180"
"J5","21.0820","-54.5030","TopLayer","90"
"J6","67.5640","-18.0340","TopLayer","90"
"J7","91.6520","-52.8880","TopLayer","90"
"J8","4.1910","-57.4040","TopLayer","90"
"J9","3.9522","-38.4813","TopLayer","90"
"J15","8.7630","-6.0960","TopLayer","90"
"L1","49.8267","-38.3332","TopLayer","0"
"L2","63.1190","-46.9900","TopLayer","0"
"L3","73.1520","-29.9720","TopLayer","90"
"L5","33.9090","-32.3850","TopLayer","0"
"Q1","6.3120","-19.6850","TopLayer","0"
"Q2","19.8120","-35.0310","TopLayer","180"
"Q3","11.2420","-44.6700","TopLayer","180"
"Q4","10.5070","-50.3580","TopLayer","180"
"Q5","19.7740","-22.2250","TopLayer","0"
"Q6","29.2100","-34.4170","TopLayer","180"
"Q7","19.7740","-14.3510","TopLayer","0"
"Q8","39.3700","-22.0980","TopLayer","90"
"Q9","32.2430","-6.5430","TopLayer","90"
"R1","10.9220","-24.6380","TopLayer","180"
"R2","43.6880","-11.0490","TopLayer","180"
"R3","15.7480","-9.6520","TopLayer","180"
"R4","25.1460","-29.5910","TopLayer","0"
"R5","11.4300","-40.3860","TopLayer","270"
"R6","11.1760","-47.7520","TopLayer","270"
"R7","37.2110","-52.9920","TopLayer","90"
"R8","36.0680","-52.9920","TopLayer","90"
"R9","24.7650","-59.8170","TopLayer","270"
"R10","82.6440","-39.6240","TopLayer","180"
"R11","82.6440","-40.7670","TopLayer","0"
"R12","82.6770","-42.0370","TopLayer","180"
"R13","24.7650","-55.2450","TopLayer","90"
"R14","24.7650","-51.8490","TopLayer","90"
"R15","83.1850","-18.6360","TopLayer","270"
"R16","100.0760","-30.9880","TopLayer","180"
"R17","100.0760","-29.8450","TopLayer","180"
"R18","100.0760","-28.8290","TopLayer","180"
"R19","25.1460","-30.7340","TopLayer","180"
"R20","13.4620","-50.9270","TopLayer","90"
"R21","9.8400","-47.6930","TopLayer","90"
"R22","11.9380","-53.4670","TopLayer","180"
"R23","14.6050","-50.9270","TopLayer","270"
"R24","24.7650","-57.4040","TopLayer","90"
"R25","67.4370","-52.4510","TopLayer","0"
"R26","20.2870","-15.7480","BottomLayer","180"
"R27","12.5730","-2.7940","BottomLayer","90"
"R28","3.6830","-14.2240","BottomLayer","180"
"R29","30.2260","-21.9710","TopLayer","0"
"R30","29.5910","-31.3690","TopLayer","90"
"R31","66.5810","-23.8760","TopLayer","0"
"R32","47.0624","-30.2048","TopLayer","180"
"R33","47.0624","-31.2208","TopLayer","0"
"R34","61.8490","-27.4320","TopLayer","90"
"R35","49.1490","-27.5590","TopLayer","90"
"R36","32.2580","-21.9710","TopLayer","0"
"R37","50.4190","-27.5590","TopLayer","270"
"R38","43.6880","-21.2090","TopLayer","180"
"R39","39.3700","-19.6850","TopLayer","0"
"R40","29.4640","-36.5760","TopLayer","180"
"R41","63.8810","-32.8930","TopLayer","90"
"R42","32.5120","-17.2720","TopLayer","180"
"R43","34.9250","-6.2230","TopLayer","90"
"R44","32.2580","-9.0170","TopLayer","0"
"R45","60.3548","-38.8616","TopLayer","180"
"R46","60.3548","-39.8776","TopLayer","0"
"R47","18.5090","-9.6520","TopLayer","0"
"R49","39.3700","-24.5110","TopLayer","0"
"R50","65.0240","-32.8930","TopLayer","270"
"R51","72.8980","-41.7830","TopLayer","0"
"R52","11.6840","-35.0520","TopLayer","0"
"R53","83.1850","-14.9860","TopLayer","270"
"R57","37.4650","-22.6060","TopLayer","270"
"R75","36.3220","-58.1660","TopLayer","90"
"R76","36.3220","-60.1980","TopLayer","90"
"R77","51.4350","-57.7520","TopLayer","270"
"R78","65.4050","-52.9590","TopLayer","0"
"R80","46.1010","-60.1980","TopLayer","270"
"R81","58.4200","-54.7370","TopLayer","0"
"R83","47.3710","-60.1980","TopLayer","90"
"R84","27.8130","-37.2110","TopLayer","90"
"R86","28.9560","-12.8600","TopLayer","90"
"R87","28.9560","-14.8590","TopLayer","90"
"R88","41.6560","-15.2400","TopLayer","180"
"R89","3.5560","-14.2240","TopLayer","0"
"R90","41.6560","-14.2240","TopLayer","180"
"R91","29.5910","-16.8910","TopLayer","180"
"R92","30.2260","-26.5430","TopLayer","0"
"R93","30.2260","-24.0030","TopLayer","180"
"R94","30.2260","-22.9870","TopLayer","0"
"R95","30.2260","-25.0190","TopLayer","0"
"RF_PCB1","79.5170","-11.8350","BottomLayer","180"
"SW2","17.9470","-4.0320","BottomLayer","0"
"U1","54.8510","-16.1190","TopLayer","0"
"U2","88.1070","-29.5120","TopLayer","90"
"U3","103.2510","-36.8300","TopLayer","0"
"U4","37.3380","-39.2050","TopLayer","180"
"U5","29.5910","-52.1970","TopLayer","180"
"U6","67.4960","-31.5656","TopLayer","180"
"U7","29.5910","-58.0390","TopLayer","180"
"U9","30.3530","-46.1010","TopLayer","90"
"U10","49.4377","-32.4692","TopLayer","90"
"U11","62.7300","-41.1260","TopLayer","90"
"U12","75.6270","-55.5569","TopLayer","90"
"U13","81.9770","-55.5569","BottomLayer","90"
"U14","17.7800","-19.3040","BottomLayer","0"
"U16","99.0601","-52.1971","TopLayer","180"
"U19","41.7830","-58.1660","TopLayer","0"
"U20","54.2979","-58.1660","TopLayer","180"
"U21","34.6710","-13.7160","TopLayer","0"
"U22","35.3061","-19.0499","TopLayer","270"
"U23","33.9090","-25.9475","TopLayer","180"
