Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
C2,89.73,-87.376,TopLayer,0
C3,63.998,-86.047,TopLayer,90
C21,75.0849,-68.78,TopLayer,90
C22,66.919,-81.534,TopLayer,180
C27,63.998,-83.185,TopLayer,270
D3,93.462,-85.852,TopLayer,90
D9,72.634,-73.041,TopLayer,270
J7,83.7379,-77.7789,TopLayer,315
J10,66.421,-69.215,TopLayer,270
J11,77.46,-73.914,TopLayer,0
LED1,71.247,-66.04,TopLayer,0
Q11,77.637,-78.74,TopLayer,0
R24,70.278,-83.8154,TopLayer,270
R26,72.1816,-78.162,TopLayer,0
R47,73.914,-66.04,TopLayer,180
R48,72.159,-76.835,TopLayer,0
R54,72.1816,-75.495,TopLayer,0
R64,74.9,-78.6234,TopLayer,270
U12,66.7919,-84.582,TopLayer,0
U13,66.792,-76.581,TopLayer,90
U14,72.4685,-68.6825,TopLayer,270
USB2,92.63,-91.4504,TopLayer,0
