Altium Designer Pick and Place Locations
C:\Users\Administrator\Documents\in3ator_altium\Prototypes\ARCABOARD\PCB_Project\Project Outputs for Arcaboard\Pick Place\Pick Place for Arcaboard(Main).csv

========================================================================================================================
File Design Information:

Date:       05/12/24
Time:       15:27
Revision:   Not in VersionControl
Variant:    Main
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"BUZ1","299.5162","190.1190","BottomLayer","180"
"C1","282.1940","148.9710","BottomLayer","90"
"C2","279.3301","140.4122","BottomLayer","0"
"C3","279.3301","137.9992","BottomLayer","0"
"C4","280.2890","186.6220","BottomLayer","270"
"C5","277.4950","158.3690","BottomLayer","180"
"C6","278.4198","174.2440","BottomLayer","0"
"C7","278.4198","176.6570","BottomLayer","0"
"C8","277.9350","187.1980","BottomLayer","180"
"C9","277.9350","188.3410","BottomLayer","180"
"C10","277.9350","189.4840","BottomLayer","180"
"C11","277.9350","190.6270","BottomLayer","180"
"C12","277.9350","191.7700","BottomLayer","180"
"C13","278.4454","179.0700","BottomLayer","180"
"C14","278.3840","181.2290","BottomLayer","180"
"C15","278.2570","182.7530","BottomLayer","180"
"C16","281.4320","140.5890","BottomLayer","90"
"C17","276.3520","139.4460","BottomLayer","0"
"C18","272.5420","143.0020","BottomLayer","270"
"C19","272.4150","148.2090","BottomLayer","270"
"C20","241.8300","151.2570","BottomLayer","180"
"C21","251.7140","154.8130","BottomLayer","0"
"C22","247.4640","154.8130","BottomLayer","180"
"C23","208.0260","183.0070","BottomLayer","180"
"C25","251.3180","139.8990","BottomLayer","90"
"C27","208.0260","181.9910","BottomLayer","180"
"C28","208.0260","185.0390","BottomLayer","0"
"C29","204.6650","185.0390","BottomLayer","0"
"C31","204.6650","181.9910","BottomLayer","180"
"C32","212.0900","191.5160","BottomLayer","0"
"C33","241.8300","146.6850","BottomLayer","0"
"C34","197.7390","192.4050","BottomLayer","270"
"C35","197.7390","194.4960","BottomLayer","90"
"C36","204.6650","183.0070","BottomLayer","180"
"C38","212.0220","192.5320","BottomLayer","0"
"C39","212.0900","193.5480","BottomLayer","0"
"C40","205.4860","199.6440","BottomLayer","90"
"C41","250.0903","139.8990","BottomLayer","270"
"C42","202.1840","183.7690","BottomLayer","180"
"C43","244.7290","139.4460","BottomLayer","180"
