Altium Designer Pick and Place Locations
C:\Users\Administrator\Documents\in3ator_altium\Prototypes\SHM\PCB_Project\Project Outputs for SHM\Pick Place\Pick Place for SHM(Main).csv

========================================================================================================================
File Design Information:

Date:       02/10/24
Time:       14:48
Revision:   Not in VersionControl
Variant:    Main
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C1","209.3318","153.1620","TopLayer","0"
"C2","196.7230","149.8600","TopLayer","90"
"C3","199.1360","149.8242","TopLayer","90"
"C4","220.5990","146.6850","TopLayer","270"
"C5","236.9959","146.3819","TopLayer","180"
"C6","237.0732","144.0180","TopLayer","180"
"C7","203.5810","153.1030","TopLayer","270"
"C8","198.3740","146.9980","TopLayer","90"
"C9","201.9300","142.7480","TopLayer","180"
"C10","284.7340","208.0260","TopLayer","270"
"C11","285.7500","208.0260","TopLayer","90"
"C12","208.2800","143.1290","TopLayer","180"
"C13","243.0780","182.9390","TopLayer","270"
"C14","242.9510","185.8010","TopLayer","90"
"C15","284.7340","203.0730","TopLayer","90"
"C16","259.3930","186.3090","TopLayer","0"
"C17","254.3810","174.6930","TopLayer","270"
"C18","194.3100","168.4020","TopLayer","270"
"C19","196.9770","173.3550","TopLayer","0"
"C20","196.9770","172.3390","TopLayer","0"
"C21","196.9770","171.3230","TopLayer","0"
"C22","196.9770","170.3070","TopLayer","0"
"C23","196.9770","169.2910","TopLayer","0"
"C24","196.7230","163.0680","TopLayer","0"
"C25","196.7230","160.9090","TopLayer","0"
"C26","196.8500","164.9730","TopLayer","0"
"C27","247.2690","174.6250","TopLayer","90"
"C28","248.4120","174.6250","TopLayer","270"
"C29","225.8060","170.0530","TopLayer","180"
"C30","226.9490","167.2590","TopLayer","270"
"C31","227.9650","167.2590","TopLayer","270"
"C32","228.9810","167.2590","TopLayer","270"
"C33","229.9970","167.2590","TopLayer","270"
"C34","231.0130","167.2590","TopLayer","270"
"C35","218.4400","167.8940","TopLayer","270"
"C36","220.4720","167.8940","TopLayer","270"
"C37","222.2500","167.3860","TopLayer","270"
"C38","295.6560","186.4950","TopLayer","270"
"C39","261.7470","168.3340","TopLayer","270"
"C40","277.3680","129.4130","TopLayer","180"
"C41","277.3680","130.9370","TopLayer","180"
"C42","269.2400","134.3660","TopLayer","180"
"C43","269.2400","132.8420","TopLayer","180"
"C44","255.0160","134.8740","TopLayer","0"
"C45","257.3020","136.0170","TopLayer","180"
"C46","254.0000","137.1600","TopLayer","0"
"C47","272.8242","137.5433","TopLayer","270"
"C48","271.3002","137.5433","TopLayer","270"
"C49","254.8890","124.5870","TopLayer","90"
"C50","194.8180","191.3890","TopLayer","180"
"C51","194.8180","192.5320","TopLayer","180"
"C52","194.8180","193.6750","TopLayer","180"
"C53","243.8400","137.9220","TopLayer","180"
"C54","243.8400","139.9540","TopLayer","180"
"C55","243.8400","141.9860","TopLayer","180"
"C56","241.5540","137.6680","TopLayer","270"
"C57","239.3950","138.3030","TopLayer","180"
"C58","239.3950","140.2080","TopLayer","180"
"C59","238.8870","141.7320","TopLayer","180"
"C60","201.8030","201.2950","TopLayer","180"
"C61","201.8620","204.7240","TopLayer","180"
